rank,id,title,url,user_id,stocks_count,stocks_delta,likes_count,likes_delta,previous_rank,rank_delta,comments_count,page_views_count,created_at,tags
1,e54c70c90c6aa84d0f66,CLAUDE.md 設計パターン集──プロジェクト規模別に使い分ける7つのテンプレート,https://qiita.com/hikariclaude01/items/e54c70c90c6aa84d0f66,hikariclaude01,280,0,236,1,1,0,0,,2026-07-20T10:01:57+09:00,"ClaudeCode,AI,開発環境,プロンプトエンジニアリング,開発効率化"
2,d526fb7cdbe35a3f9384,Claude Code／Codexに中～大規模開発を任せるためのタスク管理,https://qiita.com/Y-Y-dev/items/d526fb7cdbe35a3f9384,Y-Y-dev,244,9,217,6,2,0,1,,2026-08-02T08:38:39+09:00,"Claude,codex"
3,e9ee8e26cfdc40a8c2f9,マルチエージェントに関する論文を40本再実装してみて分かったこと,https://qiita.com/Koukyosyumei/items/e9ee8e26cfdc40a8c2f9,Koukyosyumei,129,0,167,1,3,0,0,,2026-07-17T07:54:35+09:00,"codex,ChatGPT,AIエージェント,マルチエージェント,ClaudeCode"
4,438336db3684cf662321,Claude Code「/config」設定の教科書 ― 全42項目を1つずつ解説＋おすすめ設定（v2.1.220対応）,https://qiita.com/f_uto/items/438336db3684cf662321,f_uto,103,0,73,0,4,0,0,,2026-07-27T22:21:33+09:00,"ClaudeCode,Config,Claude"
5,cea574550613de33a114,CLAUDE.md は21セクションか、8行か — 公式ドキュメントで決着をつけた,https://qiita.com/jqit_suwa/items/cea574550613de33a114,jqit_suwa,71,0,64,0,5,0,0,,2026-07-30T09:47:06+09:00,"Claude,ClaudeCode,Anthropic,AI,プロンプトエンジニアリング"
6,11358e8e8966d5e48a09,AIエージェントがあれば技術書なんてすぐ書けるでしょ、と思ったが無理だった,https://qiita.com/watany/items/11358e8e8966d5e48a09,watany,63,0,106,0,6,0,2,,2026-07-25T15:46:06+09:00,"AI,生成AI,LLM,ClaudeCode,執筆"
7,224f55bc85b813930f61,ずぼらAI駆動開発、爆誕,https://qiita.com/nobu34/items/224f55bc85b813930f61,nobu34,48,2,64,1,7,0,3,,2026-08-05T09:22:29+09:00,"AI,ClaudeCode,AI駆動開発,tips,ポエム"
8,89fcfd2702ecba65c74d, Claude でクレジット100ドルが付与されたので、 Fable を使ってサブエージェントを作って「小規模開発チーム」基盤を作った,https://qiita.com/su3-hokkaido/items/89fcfd2702ecba65c74d,su3-hokkaido,43,0,42,0,8,0,0,,2026-07-27T21:43:26+09:00,"ClaudeCode,Claude,AI,Fable5,ハーネスエンジニアリング"
9,573178ed3b8a6a22ebb1,【便利】 Claude Codeの覚えておきたいスラッシュコマンドまとめ,https://qiita.com/tamashiro_nobuyuki/items/573178ed3b8a6a22ebb1,tamashiro_nobuyuki,36,-1,29,0,9,0,0,,2026-08-06T11:00:03+09:00,"ClaudeCode,AI,開発効率化"
10,9cf96baae4b01bbeb6d6,非エンジニアが気楽に始める仕様駆動開発,https://qiita.com/ynmc0214/items/9cf96baae4b01bbeb6d6,ynmc0214,34,1,37,0,11,1,2,,2026-07-25T15:31:37+09:00,"仕様駆動開発,ClaudeCode,非エンジニア,個人開発,入門"
11,1766dd6bbd308222f71b,【ClaudeCode】コスト発生要因から考えるトークン消費最適化術【トークン】,https://qiita.com/Nana_777/items/1766dd6bbd308222f71b,Nana_777,33,0,40,0,10,-1,2,,2026-07-28T06:07:03+09:00,"ClaudeCode,AWS,トークン最適化,トークン,AI"
12,e07a4d45ca5cf2ff14ef,Claude Codeで技術面接の壁打ち相手を作ってみませんか,https://qiita.com/kuma_3838/items/e07a4d45ca5cf2ff14ef,kuma_3838,32,0,41,0,13,1,0,,2026-07-16T08:39:44+09:00,"初心者,AI,転職,SKILLS,ClaudeCode"
13,322286d2f1c16eca7459,受託PM10年の自分が『人月の死』を肌で感じでしまった話,https://qiita.com/enomoso_pm/items/322286d2f1c16eca7459,enomoso_pm,30,1,41,1,14,1,1,,2026-07-19T06:35:34+09:00,"生成AI,AIエージェント,プロジェクトマネジメント,AI駆動開発,ClaudeCode"
14,b4a874f0bbf91d378097,自分のHTML資産を増やすと、AIで見た目の良いサイトを作りやすくなる,https://qiita.com/uni928/items/b4a874f0bbf91d378097,uni928,28,1,40,3,16,2,0,,2026-08-07T12:45:45+09:00,"HTML,JavaScript,ChatGPT,AI,Claude"
15,575cc42b5dafe8697447,skills.shのおすすめスキルまとめ,https://qiita.com/hokutoh/items/575cc42b5dafe8697447,hokutoh,28,0,29,0,15,0,0,,2026-07-19T15:19:46+09:00,"SKILLS,skills.sh,ClaudeCode,AgentSkills,VibeCoding"
16,02357fd5b91be7b806cb,初心者でもわかる！ Python で学ぶマクロ経済学入門 全100回 総復習,https://qiita.com/maskot1977/items/02357fd5b91be7b806cb,maskot1977,23,0,23,0,17,1,1,,2026-07-21T02:54:24+09:00,"Python,ChatGPT,ClaudeCode,Gemini,マクロ経済学"
17,2dee3e3d53080c3676a0,CLAUDE.md を厚くしても意味がなかった話,https://qiita.com/jqit_suwa/items/2dee3e3d53080c3676a0,jqit_suwa,21,0,30,0,18,1,0,,2026-08-03T09:32:33+09:00,"AI,AIエージェント,Claude,ClaudeCode,LLM"
18,74a96ce83dde5245407a,「最後に検証して」はもう書かなくていい — Claude Opus 5 でプロンプトの常識が逆転した4つのこと,https://qiita.com/jqit_suwa/items/74a96ce83dde5245407a,jqit_suwa,19,0,26,0,19,1,0,,2026-07-28T13:08:47+09:00,"Claude,Anthropic,LLM,AI,ClaudeCode"
19,e1583af614a573e4b245,【前編】AI駆動開発、用語で挫折していませんか？ ——歴史をたどれば「Skills」も「Hooks」も一本の線でつながる,https://qiita.com/shou-dev19/items/e1583af614a573e4b245,shou-dev19,19,0,23,1,20,1,0,,2026-08-03T20:36:34+09:00,"ClaudeCode,AI駆動開発,生成AI,LLM,初心者"
20,8f620b59852246903fce,現場でAIを使ったことが無いQAエンジニアがAIを活用する現場に参画してみた結果,https://qiita.com/tomoya_o/items/8f620b59852246903fce,tomoya_o,19,0,18,0,21,1,0,,2026-07-22T23:11:30+09:00,"QA,QAエンジニア,生成AI,AIDD,ClaudeCode"
21,3deae323e2e54e72492c,ObsidianとClaudeCodeで公式ドキュメント群を「測定できるグラフRAG」に変換する — 軽量検索基盤の作成記録,https://qiita.com/yumaha/items/3deae323e2e54e72492c,yumaha,19,0,8,0,22,1,0,,2026-07-21T09:22:28+09:00,"Obsidian,ClaudeCode,rag,Python,Markdown"
22,5a3c6420cb0b2fa0e823,AI時代のドキュメント駆動開発のすすめ,https://qiita.com/Asahi_tech_dev/items/5a3c6420cb0b2fa0e823,Asahi_tech_dev,18,0,19,0,24,2,0,,2026-07-18T11:44:30+09:00,"ClaudeCode,codex,AI,AIエージェント"
23,7aa06b6982dfd1730af0,Claude Codeに「違反できないコード」を書かせる：ガイドとセンサーの設計,https://qiita.com/shun123/items/7aa06b6982dfd1730af0,shun123,18,11,14,8,50,27,0,,2026-08-11T13:34:02+09:00,"ClaudeCode,TypeScript,オニオンアーキテクチャ,AI駆動開発,Hono"
24,2adb0c35fffb41514791,「インターネットはありません」と書いたプロンプトの外で、AI が実在企業3社に侵入していた,https://qiita.com/jqit_suwa/items/2adb0c35fffb41514791,jqit_suwa,17,0,22,0,25,1,0,,2026-08-03T09:58:08+09:00,"AI,生成AI,AIエージェント,Claude,Security"
25,ac7d1201bd14e9a4e1ac,40万件のAI承認を分析したら、見逃し率が3倍違った — 危ないものほど、ちゃんと止められている,https://qiita.com/jqit_suwa/items/ac7d1201bd14e9a4e1ac,jqit_suwa,17,0,18,0,26,1,0,,2026-08-07T08:50:56+09:00,"AI,生成AI,AIエージェント,ClaudeCode,Security"
26,467e10f4af6ff5cb84d5,Agent Skillsを備えたAntigravity CLIとアーキテクチャ設計対決した,https://qiita.com/satoshi-sugiyama/items/467e10f4af6ff5cb84d5,satoshi-sugiyama,17,0,15,1,27,1,0,,2026-07-27T00:11:20+09:00,"GoogleCloud,Antigravity,Claude,CloudRun,AI"
